,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror
30,52,2012-11-08,Skyfall,200000000,304360277,1110526981,5.552634905,2012,tt1074638,Skyfall,Skyfall,143.0,"Action,Adventure,Thriller",7.8,592221,over,False
31,53,2013-06-21,Monsters University,200000000,268488329,743588329,3.717941645,2013,tt1453405,Monsters University,Monsters University,104.0,"Adventure,Animation,Comedy",7.3,291887,sweet spot,False
32,54,2013-03-08,Oz the Great and Powerful,200000000,234770996,490359051,2.451795255,2013,tt1623205,Oz the Great and Powerful,Oz the Great and Powerful,130.0,"Adventure,Family,Fantasy",6.3,192045,over,False
33,55,2014-05-23,X-Men: Days of Future Past,200000000,233921534,747862775,3.739313875,2014,tt1877832,X-Men: Days of Future Past,X-Men: Days of Future Past,132.0,"Action,Adventure,Sci-Fi",8.0,620079,over,False
34,56,2014-05-02,The Amazing Spider-Man 2,200000000,202853933,708996336,3.54498168,2014,tt1872181,The Amazing Spider-Man 2,The Amazing Spider-Man 2,142.0,"Action,Adventure,Sci-Fi",6.6,388363,over,False
35,57,2011-06-24,Cars 2,200000000,191450875,560155383,2.800776915,2011,tt1216475,Cars 2,Cars 2,106.0,"Adventure,Animation,Comedy",6.2,138914,sweet spot,False
36,60,2018-11-16,Fantastic Beasts: The Crimes of Grindelwald,200000000,159555901,652220086,3.26110043,2018,tt4123430,Fantastic Beasts: The Crimes of Grindelwald,Fantastic Beasts: The Crimes of Grindelwald,134.0,"Adventure,Family,Fantasy",6.6,163151,over,False
37,62,2011-06-17,Green Lantern,200000000,116601172,219535492,1.09767746,2011,tt1133985,Green Lantern,Green Lantern,114.0,"Action,Adventure,Sci-Fi",5.5,252281,sweet spot,False
38,64,2011-06-29,Transformers: Dark of the Moon,195000000,352390543,1123790543,5.763028425641026,2011,tt1399103,Transformers: Dark of the Moon,Transformers: Dark of the Moon,154.0,"Action,Adventure,Sci-Fi",6.2,366409,over,False
39,65,2017-06-09,The Mummy,195000000,80101125,409953905,2.102327717948718,2017,tt2345759,The Mummy,The Mummy,110.0,"Action,Adventure,Fantasy",5.5,154345,sweet spot,False
40,66,2013-03-01,Jack the Giant Slayer,195000000,65187603,197687603,1.0137825794871795,2013,tt1351685,Jack the Giant Slayer,Jack the Giant Slayer,114.0,"Adventure,Fantasy",6.3,123127,sweet spot,False
41,67,2015-04-03,Furious 7,190000000,353007020,1518722794,7.9932778631578945,2015,tt2820852,Furious 7,Furious Seven,137.0,"Action,Crime,Thriller",7.2,335074,over,False
42,68,2013-05-16,Star Trek Into Darkness,190000000,228778661,467381584,2.4599030736842105,2013,tt1408101,Star Trek Into Darkness,Star Trek Into Darkness,132.0,"Action,Adventure,Sci-Fi",7.7,445535,over,False
43,69,2013-06-21,World War Z,190000000,202359711,531514650,2.7974455263157894,2013,tt0816711,World War Z,World War Z,116.0,"Action,Adventure,Horror",7.0,553751,over,True
44,70,2013-05-10,The Great Gatsby,190000000,144840419,351040419,1.8475811526315788,2013,tt1343092,The Great Gatsby,The Great Gatsby,143.0,"Drama,Romance",7.3,433165,over,False
45,72,2013-07-12,Pacific Rim,190000000,101802906,411002906,2.1631731894736843,2013,tt1663662,Pacific Rim,Pacific Rim,131.0,"Action,Adventure,Sci-Fi",6.9,443667,over,False
46,73,2015-11-25,The Good Dinosaur,187500000,123087120,333771037,1.7801121973333334,2015,tt1979388,The Good Dinosaur,The Good Dinosaur,93.0,"Adventure,Animation,Comedy",6.7,91465,under,False
47,77,2012-06-22,Brave,185000000,237282182,554606532,2.997873145945946,2012,tt1217209,Brave,Brave,93.0,"Adventure,Animation,Comedy",7.1,338728,under,False
48,78,2017-03-10,Kong: Skull Island,185000000,168052812,561072059,3.0328219405405403,2017,tt3731562,Kong: Skull Island,Kong: Skull Island,118.0,"Action,Adventure,Fantasy",6.6,237720,over,False
49,79,2016-07-22,Star Trek Beyond,185000000,158848340,335802233,1.8151472054054054,2016,tt2660888,Star Trek Beyond,Star Trek Beyond,122.0,"Action,Adventure,Sci-Fi",7.1,209844,over,False
50,80,2017-10-06,Blade Runner 2049,185000000,92054159,259357408,1.4019319351351351,2017,tt1856101,Blade Runner 2049,Blade Runner 2049,164.0,"Drama,Mystery,Sci-Fi",8.0,376241,over,False
51,81,2019-05-24,Aladdin,182000000,246734314,619234314,3.4023863406593406,2019,tt6139732,Aladdin,Aladdin,128.0,"Adventure,Comedy,Family",7.4,57549,over,False
52,82,2017-11-03,Thor: Ragnarok,180000000,315058289,846980024,4.705444577777778,2017,tt3501632,Thor: Ragnarok,Thor: Ragnarok,130.0,"Action,Adventure,Comedy",7.9,482995,over,False
53,84,2014-05-30,Maleficent,180000000,241407328,758536735,4.214092972222222,2014,tt1587310,Maleficent,Maleficent,97.0,"Action,Adventure,Family",7.0,305832,sweet spot,False
54,85,2016-11-18,Fantastic Beasts and Where to Find Them,180000000,234037575,802402853,4.457793627777778,2016,tt3183660,Fantastic Beasts and Where to Find Them,Fantastic Beasts and Where to Find Them,132.0,"Adventure,Family,Fantasy",7.3,365353,over,False
55,88,2016-07-01,The Legend of Tarzan,180000000,126643061,348902025,1.9383445833333333,2016,tt0918940,The Legend of Tarzan,The Legend of Tarzan,110.0,"Action,Adventure,Drama",6.3,150154,sweet spot,False
56,89,2011-11-23,Hugo,180000000,73864507,180047784,1.0002654666666666,2011,tt0970179,Hugo,Hugo,126.0,"Adventure,Drama,Family",7.5,284869,over,False
57,90,2017-07-21,Valerian and the City of a Thousand Planets,180000000,40479370,215098356,1.1949908666666667,2017,tt2239822,Valerian and the City of a Thousand Planets,Valerian and the City of a Thousand Planets,137.0,"Action,Adventure,Fantasy",6.5,139792,over,False
58,91,2015-02-06,Jupiter Ascending,179000000,47482519,181982519,1.0166621173184358,2015,tt1617661,Jupiter Ascending,Jupiter Ascending,127.0,"Action,Adventure,Sci-Fi",5.3,166327,over,False
59,93,2016-05-27,X-Men: Apocalypse,178000000,155442489,542537546,3.047963741573034,2016,tt3385516,X-Men: Apocalypse,X-Men: Apocalypse,144.0,"Action,Adventure,Sci-Fi",7.0,356556,over,False
60,94,2018-08-10,The Meg,178000000,145443742,529530715,2.974891657303371,2018,tt4779682,The Meg,The Meg,113.0,"Action,Horror,Sci-Fi",5.7,114042,sweet spot,True
61,95,2014-06-06,Edge of Tomorrow,178000000,100206256,370541256,2.081692449438202,2014,tt1631867,Edge of Tomorrow,Edge of Tomorrow,113.0,"Action,Sci-Fi",7.9,546284,sweet spot,False
62,96,2019-03-08,Captain Marvel,175000000,426525952,1123061550,6.417494571428572,2019,tt4154664,Captain Marvel,Captain Marvel,123.0,"Action,Adventure,Sci-Fi",7.0,296225,over,False
63,97,2016-04-15,The Jungle Book,175000000,364001123,962854547,5.502025982857143,2016,tt2226178,The Jungle Book,The Jungle Book,64.0,Animation,7.0,59,under,False
64,98,2015-06-19,Inside Out,175000000,356461711,854235992,4.8813485257142855,2015,tt1640486,Inside Out,Inside Out,93.0,"Crime,Drama",4.6,1566,under,False
65,99,2017-07-07,Spider-Man: Homecoming,175000000,334201140,880166350,5.029522,2017,tt2250912,Spider-Man: Homecoming,Spider-Man: Homecoming,133.0,"Action,Adventure,Sci-Fi",7.5,426302,over,False
66,100,2016-08-05,Suicide Squad,175000000,325100054,746059887,4.263199354285715,2016,tt1386697,Suicide Squad,Suicide Squad,123.0,"Action,Adventure,Fantasy",6.0,533039,over,False
67,2,2017-11-22,Coco,175000000,209726015,798008101,4.560046291428572,2017,tt2380307,Coco,Coco,105.0,"Adventure,Animation,Comedy",8.4,277194,sweet spot,False
68,5,2017-06-16,Cars 3,175000000,152901115,383541369,2.1916649657142857,2017,tt3606752,Cars 3,Cars 3,102.0,"Adventure,Animation,Comedy",6.8,59408,sweet spot,False
69,11,2017-05-12,King Arthur: Legend of the Sword,175000000,39175066,139630336,0.7978876342857143,2017,tt1972591,King Arthur: Legend of the Sword,King Arthur: Legend of the Sword,126.0,"Action,Adventure,Drama",6.8,169054,over,False
70,12,2013-12-25,47 Ronin,175000000,38362475,151716815,0.8669532285714285,2013,tt1335975,47 Ronin,47 Ronin,128.0,"Action,Adventure,Drama",6.3,135754,over,False
71,13,2018-06-22,Jurassic World: Fallen Kingdom,170000000,417719760,1305772799,7.681016464705882,2018,tt4881806,Jurassic World: Fallen Kingdom,Jurassic World: Fallen Kingdom,128.0,"Action,Adventure,Sci-Fi",6.2,219125,over,False
72,14,2014-08-01,Guardians of the Galaxy,170000000,333172112,770867516,4.5345148,2014,tt2015381,Guardians of the Galaxy,Guardians of the Galaxy,121.0,"Action,Adventure,Comedy",8.1,948394,over,False
73,16,2014-04-04,Captain America: The Winter Soldier,170000000,259746958,714401889,4.202364052941176,2014,tt1843866,Captain America: The Winter Soldier,Captain America: The Winter Soldier,136.0,"Action,Adventure,Sci-Fi",7.8,666252,over,False
74,17,2014-07-11,Dawn of the Planet of the Apes,170000000,208545589,710644566,4.180262152941176,2014,tt2103281,Dawn of the Planet of the Apes,Dawn of the Planet of the Apes,130.0,"Action,Adventure,Drama",7.6,390199,over,False
75,19,2012-06-01,Snow White and the Huntsman,170000000,155136755,401021746,2.3589514470588235,2012,tt1735898,Snow White and the Huntsman,Snow White and the Huntsman,127.0,"Action,Adventure,Drama",6.1,258938,over,False
76,22,2019-03-29,Dumbo,170000000,113883318,345004422,2.0294377764705884,2019,tt3861390,Dumbo,Dumbo,112.0,"Adventure,Family,Fantasy",6.6,25072,sweet spot,False
77,23,2015-05-22,Tomorrowland,170000000,93436322,206627518,1.2154559882352942,2015,tt1964418,Tomorrowland,Tomorrowland,130.0,"Action,Adventure,Family",6.4,161343,over,False
78,24,2019-02-14,Alita: Battle Angel,170000000,85710210,402976036,2.3704472705882353,2019,tt0437086,Alita: Battle Angel,Alita: Battle Angel,122.0,"Action,Adventure,Sci-Fi",7.5,88207,over,False
79,25,2019-05-31,Godzilla: King of the Monsters,170000000,85576941,299276941,1.760452594117647,2019,tt3741700,Godzilla: King of the Monsters,Godzilla: King of the Monsters,132.0,"Action,Adventure,Fantasy",6.7,36479,over,False
80,26,2016-05-27,Alice Through the Looking Glass,170000000,77042381,276928112,1.6289888941176471,2016,tt2567026,Alice Through the Looking Glass,Alice Through the Looking Glass,113.0,"Adventure,Family,Fantasy",6.2,79951,sweet spot,False
81,28,2016-11-04,Doctor Strange,165000000,232641920,676404566,4.099421612121212,2016,tt1211837,Doctor Strange,Doctor Strange,115.0,"Action,Adventure,Fantasy",7.5,514510,sweet spot,False
82,29,2014-11-07,Big Hero 6,165000000,222527828,652127828,3.952289866666667,2014,tt2245084,Big Hero 6,Big Hero 6,102.0,"Action,Adventure,Animation",7.8,371204,sweet spot,False
83,31,2012-11-02,Wreck-It Ralph,165000000,189412677,496511521,3.0091607333333332,2012,tt1772341,Wreck-It Ralph,Wreck-It Ralph,101.0,"Adventure,Animation,Comedy",7.7,344496,sweet spot,False
84,32,2014-11-05,Interstellar,165000000,188017894,666379375,4.038662878787878,2014,tt0816692,Interstellar,Interstellar,169.0,"Adventure,Drama,Sci-Fi",8.6,1299334,over,False
85,33,2016-06-24,Independence Day: Resurgence,165000000,103144286,384169424,2.328299539393939,2016,tt1628841,Independence Day: Resurgence,Independence Day: Resurgence,120.0,"Action,Adventure,Sci-Fi",5.2,155344,over,False
86,35,2017-03-17,Beauty and the Beast,160000000,504014165,1259199706,7.8699981625,2017,tt2316801,Beauty and the Beast,La belle et la bête,112.0,"Drama,Fantasy,Romance",6.4,18100,sweet spot,False
87,36,2018-12-21,Aquaman,160000000,335061807,1146894640,7.1680915,2018,tt1477834,Aquaman,Aquaman,143.0,"Action,Adventure,Fantasy",7.1,263328,over,False
88,39,2015-11-20,The Hunger Games: Mockingjay - Part 2,160000000,281723902,648986787,4.05616741875,2015,tt1951266,The Hunger Games: Mockingjay - Part 2,The Hunger Games: Mockingjay - Part 2,137.0,"Action,Adventure,Sci-Fi",6.6,252384,over,False
89,41,2014-05-16,Godzilla,160000000,200676069,529076069,3.30672543125,2014,tt0831387,Godzilla,Godzilla,123.0,"Action,Adventure,Sci-Fi",6.4,350687,over,False
90,42,2011-06-03,X-Men: First Class,160000000,146408305,355408305,2.22130190625,2011,tt1270798,X-Men: First Class,X: First Class,131.0,"Action,Adventure,Sci-Fi",7.7,608930,over,False
91,46,2016-06-10,Warcraft,160000000,47225655,425522281,2.65951425625,2016,tt0803096,Warcraft,Warcraft,123.0,"Action,Adventure,Fantasy",6.9,225557,over,False
92,47,2016-09-30,Deepwater Horizon,156000000,61433527,122603824,0.7859219487179487,2016,tt1860357,Deepwater Horizon,Deepwater Horizon,107.0,"Action,Drama,History",7.1,133303,sweet spot,False
93,50,2018-03-23,Pacific Rim: Uprising,155000000,59874525,290930148,1.8769686967741936,2018,tt2557478,Pacific Rim: Uprising,Pacific Rim: Uprising,111.0,"Action,Adventure,Sci-Fi",5.6,89462,sweet spot,False
94,52,2017-07-14,War for the Planet of the Apes,152000000,146880162,489592267,3.2210017565789473,2017,tt3450958,War for the Planet of the Apes,War for the Planet of the Apes,140.0,"Action,Adventure,Drama",7.5,201943,over,False
95,55,2017-06-02,Wonder Woman,150000000,412563408,821133378,5.47422252,2017,tt0451279,Wonder Woman,Wonder Woman,141.0,"Action,Adventure,Fantasy",7.5,487527,over,False
96,56,2013-11-22,Frozen,150000000,400738009,1272469910,8.483132733333333,2013,tt1323045,Frozen,Frozen,93.0,"Adventure,Drama,Sport",6.2,62311,under,False
97,57,2016-03-04,Zootopia,150000000,341268248,1019429616,6.79619744,2016,tt2948356,Zootopia,Zootopia,108.0,"Adventure,Animation,Comedy",8.0,383446,sweet spot,False
98,62,2016-11-23,Moana,150000000,248757044,637517365,4.250115766666666,2016,tt3521164,Moana,Moana,107.0,"Adventure,Animation,Comedy",7.6,224253,sweet spot,False
99,66,2013-11-08,Thor: The Dark World,150000000,206362140,644602516,4.297350106666666,2013,tt1981115,Thor: The Dark World,Thor: The Dark World,112.0,"Action,Adventure,Fantasy",6.9,540996,sweet spot,False
100,69,2017-07-21,Dunkirk,150000000,190068280,499837368,3.33224912,2017,tt5013056,Dunkirk,Dunkirk,106.0,"Action,Drama,History",7.9,466580,sweet spot,False
101,70,2011-05-06,Thor,150000000,181030624,449326618,2.995510786666667,2011,tt0800369,Thor,Thor,115.0,"Action,Adventure,Fantasy",7.0,683264,sweet spot,False
102,74,2011-05-26,Kung Fu Panda 2,150000000,165249063,664837547,4.432250313333333,2011,tt1302011,Kung Fu Panda 2,Kung Fu Panda 2,90.0,"Action,Adventure,Animation",7.2,228465,under,False
103,75,2015-05-15,Mad Max: Fury Road,150000000,153636354,370098020,2.467320133333333,2015,tt1392190,Mad Max: Fury Road,Mad Max: Fury Road,120.0,"Action,Adventure,Sci-Fi",8.1,780910,over,False
104,78,2018-03-29,Ready Player One,150000000,137690172,579290136,3.86193424,2018,tt1677720,Ready Player One,Ready Player One,140.0,"Action,Adventure,Sci-Fi",7.5,301660,over,False
105,87,2012-03-30,Wrath of the Titans,150000000,83670083,305270083,2.035133886666667,2012,tt1646987,Wrath of the Titans,Wrath of the Titans,99.0,"Action,Adventure,Fantasy",5.7,172330,sweet spot,False
106,89,2012-05-11,Dark Shadows,150000000,79727149,238202668,1.5880177866666667,2012,tt1077368,Dark Shadows,Dark Shadows,113.0,"Comedy,Fantasy,Horror",6.2,229818,sweet spot,True
107,90,2013-06-28,White House Down,150000000,73103784,205440387,1.36960258,2013,tt2334879,White House Down,White House Down,131.0,"Action,Drama,Thriller",6.4,191791,over,False
108,92,2017-02-17,The Great Wall,150000000,45157105,334486852,2.2299123466666666,2017,tt2034800,The Great Wall,The Great Wall,103.0,"Action,Adventure,Fantasy",6.0,111602,sweet spot,False
109,93,2015-10-09,Pan,150000000,35088320,151525973,1.0101731533333334,2015,tt3332064,Pan,Pan,111.0,"Adventure,Comedy,Family",5.8,55867,sweet spot,False
110,94,2011-03-11,Mars Needs Moms,150000000,21392758,39549758,0.26366505333333334,2011,tt1305591,Mars Needs Moms,Mars Needs Moms,88.0,"Adventure,Animation,Family",5.4,19823,under,False
111,97,2012-06-08,Madagascar 3: Europe's Most Wanted,145000000,216391482,746921271,5.151181179310345,2012,tt1277953,Madagascar 3: Europe's Most Wanted,Madagascar 3: Europe's Most Wanted,93.0,"Adventure,Animation,Comedy",6.8,146858,under,False
112,99,2014-06-13,How to Train Your Dragon 2,145000000,177002924,614586270,4.238526,2014,tt1646971,How to Train Your Dragon 2,How to Train Your Dragon 2,102.0,"Action,Adventure,Animation",7.8,278205,sweet spot,False
113,1,2014-03-07,Mr. Peabody & Sherman,145000000,111506430,269806430,1.860734,2014,tt0864835,Mr. Peabody & Sherman,Mr. Peabody & Sherman,92.0,"Adventure,Animation,Comedy",6.8,57277,under,False
114,2,2012-11-21,Rise of the Guardians,145000000,103412758,306900902,2.116557944827586,2012,tt1446192,Rise of the Guardians,Rise of the Guardians,97.0,"Action,Adventure,Animation",7.3,145281,sweet spot,False
115,4,2016-07-15,Ghostbusters,144000000,128350574,229008658,1.5903379027777778,2016,tt1289401,Ghostbusters,Ghostbusters,116.0,"Action,Comedy,Fantasy",5.2,186788,over,False
116,10,2011-07-22,Captain America: The First Avenger,140000000,176654505,370569776,2.6469269714285715,2011,tt0458339,Captain America: The First Avenger,Captain America: The First Avenger,124.0,"Action,Adventure,Sci-Fi",6.9,668137,over,False
117,11,2016-01-29,Kung Fu Panda 3,140000000,143528619,517599142,3.6971367285714285,2016,tt2267968,Kung Fu Panda 3,Kung Fu Panda 3,95.0,"Action,Adventure,Animation",7.1,116166,sweet spot,False
118,13,2013-03-27,G.I. Joe: Retaliation,140000000,122523060,375740705,2.6838621785714287,2013,tt1583421,G.I. Joe: Retaliation,G.I. Joe: Retaliation,110.0,"Action,Adventure,Sci-Fi",5.8,165536,sweet spot,False
119,16,2014-12-12,Exodus: Gods and Kings,140000000,65014513,268314513,1.9165322357142858,2014,tt1528100,Exodus: Gods and Kings,Exodus: Gods and Kings,150.0,"Action,Adventure,Drama",6.0,150858,over,False
120,17,2016-07-01,The BFG,140000000,55483770,199646680,1.4260477142857142,2016,tt3691740,The BFG,The BFG,117.0,"Adventure,Family,Fantasy",6.4,69340,over,False
121,18,2016-02-26,Gods of Egypt,140000000,31153464,138836756,0.9916911142857143,2016,tt2404233,Gods of Egypt,Gods of Egypt,127.0,"Action,Adventure,Fantasy",5.4,95111,over,False
122,26,2013-03-22,The Croods,135000000,187168425,573068425,4.244951296296296,2013,tt0481499,The Croods,The Croods,98.0,"Action,Adventure,Animation",7.2,176699,sweet spot,False
123,27,2015-12-25,The Revenant,135000000,183637894,532938302,3.947691125925926,2015,tt1663202,The Revenant,The Revenant,156.0,"Action,Adventure,Biography",8.0,621193,over,False
124,29,2011-03-04,Rango,135000000,123477607,245724600,1.8201822222222221,2011,tt1192628,Rango,Rango,107.0,"Adventure,Animation,Comedy",7.2,215761,sweet spot,False
125,31,2013-07-17,Turbo,135000000,83028130,286896578,2.125159837037037,2013,tt1860353,Turbo,Turbo,96.0,"Adventure,Animation,Comedy",6.4,74639,sweet spot,False
