,Unnamed: 0,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes
750,3595,96,2012-08-17,Sparkle,10000000,24397469,24660323,2.4660322999999997,2012,tt1876451,Sparkle,Sparkle,116.0,"Drama,Music",5.7,5643
751,3596,97,2016-10-14,Kevin Hart: What Now?,10000000,23591043,23591043,2.3591043,2016,tt4669186,Kevin Hart: What Now?,Kevin Hart: What Now?,96.0,"Comedy,Documentary",5.9,8134
752,3597,98,2013-04-26,Mud,10000000,21590086,31556959,3.1556959,2013,tt1935179,Mud,Mud,130.0,Drama,7.4,156786
753,3599,100,2017-12-01,The Disaster Artist,10000000,21120616,28717667,2.8717667000000002,2017,tt3521126,The Disaster Artist,The Disaster Artist,104.0,"Biography,Comedy,Drama",7.4,111737
754,3600,1,2016-09-16,Blair Witch,10000000,20777061,38985577,3.8985577000000005,2016,tt1540011,Blair Witch,Blair Witch,89.0,"Horror,Mystery,Thriller",5.0,36867
755,3606,7,2015-10-23,Paranormal Activity: The Ghost Dimension,10000000,18297124,77959374,7.7959374000000015,2015,tt2473510,Paranormal Activity: The Ghost Dimension,Paranormal Activity: The Ghost Dimension,88.0,"Horror,Mystery,Thriller",4.6,22361
756,3616,17,2016-10-07,The Birth of a Nation,10000000,15861566,16891011,1.6891011000000002,2016,tt4196450,The Birth of a Nation,The Birth of a Nation,120.0,"Biography,Drama,History",6.4,18442
757,3621,22,2011-11-23,My Week with Marilyn,10000000,14597405,34240572,3.4240572,2011,tt1655420,My Week with Marilyn,My Week with Marilyn,99.0,"Biography,Drama",7.0,79337
758,3622,23,2014-12-25,Big Eyes,10000000,14482031,27317872,2.7317872000000003,2014,tt1126590,Big Eyes,Big Eyes,106.0,"Biography,Crime,Drama",7.0,77447
759,3633,34,2019-04-05,The Best of Enemies,10000000,10205616,10205616,1.0205616,2019,tt4807408,The Best of Enemies,The Best of Enemies,133.0,"Biography,Drama,History",6.8,1162
760,3638,39,2013-01-25,Movie 43,10000000,8840453,31164747,3.1164747000000004,2013,tt1333125,Movie 43,Movie 43,94.0,Comedy,4.3,92980
