,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year,movie_id,primary_title,original_title,runtime_minutes,genres,averagerating,numvotes,runtime,Horror,month
716,49,2014-10-31,Before I Go to Sleep,22000000,3242457,19563579,0.889253590909091,2014,tt1726592,Before I Go to Sleep,Before I Go to Sleep,92.0,"Drama,Horror,Mystery",6.3,64684,under,True,10
720,61,2019-04-05,Pet Sematary,21000000,54724696,109501146,5.214340285714286,2019,tt0837563,Pet Sematary,Pet Sematary,101.0,"Horror,Mystery,Thriller",6.0,34472,sweet spot,True,4
725,82,2019-02-01,Velvet Buzzsaw,21000000,0,0,0.0,2019,tt7043012,Velvet Buzzsaw,Velvet Buzzsaw,113.0,"Horror,Mystery,Thriller",5.7,40213,sweet spot,True,2
728,93,2013-07-19,The Conjuring,20000000,137400141,318000141,15.90000705,2013,tt1457767,The Conjuring,The Conjuring,112.0,"Horror,Mystery,Thriller",7.5,397233,sweet spot,True,7
747,55,2013-01-04,Texas Chainsaw 3D,20000000,34341945,47666013,2.38330065,2013,tt1572315,Texas Chainsaw 3D,Texas Chainsaw 3D,92.0,"Horror,Thriller",4.8,41784,under,True,1
755,11,2017-09-29,Flatliners,20000000,16883115,45173738,2.2586869,2017,tt2039338,Flatliners,Flatliners,109.0,"Drama,Horror,Mystery",5.2,33752,sweet spot,True,9
772,81,2018-10-26,Suspiria,20000000,2483472,7034615,0.35173075,2018,tt1034415,Suspiria,Suspiria,152.0,"Fantasy,Horror,Mystery",6.8,37360,over,True,10
777,6,2015-10-30,Regression,20000000,55039,15824374,0.7912187,2015,tt3319920,Regression,Regression,106.0,"Crime,Horror,Mystery",5.7,33335,sweet spot,True,10
783,17,2018-12-13,Bird Box,19800000,0,0,0.0,2018,tt2737304,Bird Box,Bird Box,124.0,"Drama,Horror,Sci-Fi",6.6,218063,over,True,12
795,78,2015-09-11,The Perfect Guy,18000000,57027435,60278166,3.348787,2015,tt3862750,The Perfect Guy,The Perfect Guy,100.0,"Crime,Drama,Horror",5.6,8998,sweet spot,True,9
803,4,2017-04-28,The Circle,18000000,20497844,40651864,2.258436888888889,2017,tt2122313,The Circle,Cirkeln,144.0,"Drama,Fantasy,Horror",5.9,2396,over,True,4
815,51,2014-11-14,Wolves,18000000,0,94953,0.005275166666666667,2014,tt1403241,Wolves,Wolves,91.0,"Action,Fantasy,Horror",5.3,7312,under,True,11
818,56,2012-07-13,Red Lights,17700000,49521,14518884,0.8202759322033898,2012,tt1748179,Red Lights,Red Lights,114.0,"Drama,Fantasy,Horror",6.2,55287,sweet spot,True,7
823,77,2013-04-05,Evil Dead,17000000,54239856,97778356,5.751668,2013,tt1288558,Evil Dead,Evil Dead,91.0,"Fantasy,Horror,Thriller",6.5,146399,under,True,4
826,4,2012-08-24,The Apparition,17000000,4936819,10637281,0.6257224117647059,2012,tt1433822,The Apparition,The Apparition,83.0,"Horror,Thriller",4.1,18112,under,True,8
834,57,2014-10-03,Left Behind,16000000,14019924,20769209,1.2980755625,2014,tt2243377,Left Behind,Left Behind,86.0,"Horror,Mystery,Thriller",6.5,33,under,True,10
