,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
1123,24,2014-07-18,Planes: Fire and Rescue,50000000,59157732,156399644,3.12799288,2014
1125,26,2012-04-06,American Reunion,50000000,56758835,236799211,4.73598422,2012
1126,27,2013-01-25,Hansel & Gretel: Witch Hunters,50000000,55703475,214949716,4.29899432,2013
1127,28,2011-02-18,I am Number Four,50000000,55100437,146195159,2.92390318,2011
1131,32,2017-09-29,American Made,50000000,51342000,135569212,2.71138424,2017
1139,40,2014-08-08,Into the Storm,50000000,47602194,150429371,3.00858742,2014
1210,11,2015-03-06,Chappie,49000000,31569268,105002056,2.142899102040816,2015
1217,18,2015-01-09,Taken 3,48000000,89256424,327656424,6.8261755,2015
1219,20,2018-11-16,Instant Family,48000000,67363237,119736188,2.4945039166666665,2018
1233,34,2016-11-11,Arrival,47000000,100546139,203127894,4.321870085106383,2016
1247,48,2013-09-20,Prisoners,46000000,61002302,113402302,2.465267434782609,2013
1253,54,2012-10-05,Taken 2,45000000,139854287,377807404,8.395720088888888,2012
1257,58,2017-12-22,Pitch Perfect 3,45000000,104897530,185736412,4.127475822222222,2017
1263,64,2011-11-23,The Muppets,45000000,88625922,160971922,3.5771538222222223,2011
1267,68,2016-10-07,The Girl on the Train,45000000,75395035,174278214,3.8728492,2016
1280,81,2016-12-09,Office Christmas Party,45000000,54767494,91323299,2.0294066444444443,2016
1289,90,2014-05-23,Blended,45000000,46290741,127990741,2.844238688888889,2014
1318,19,2011-10-21,Johnny English Reborn,45000000,8406711,164640401,3.6586755777777777,2011
1326,27,2012-10-12,Argo,44500000,136025503,227140757,5.104286674157303,2012
1334,35,2013-06-28,The Heat,43000000,159581587,229727774,5.342506372093023,2013
1343,44,2012-03-16,21 Jump Street,42000000,138447667,202812429,4.828867357142857,2012
1354,55,2011-03-11,Red Riding Hood,42000000,37662162,91678442,2.182820047619048,2011
1370,71,2019-05-31,Rocketman,41000000,57342725,108642725,2.64982256097561,2019
1377,78,2015-02-13,Fifty Shades of Grey,40000000,166167230,570998101,14.274952525,2015
1379,80,2013-12-13,American Hustle,40000000,150117807,257878294,6.44695735,2013
1380,81,2019-05-17,John Wick: Chapter 3 â Parabellum,40000000,141744320,256498033,6.412450825,2019
1382,83,2014-07-25,Lucy,40000000,126573960,457507776,11.4376944,2014
1383,84,2013-12-25,Lone Survivor,40000000,125095601,149804632,3.7451158,2013
1389,90,2016-06-10,The Conjuring 2: The Enfield Poltergeist,40000000,102470008,311262102,7.78155255,2016
1393,94,2017-02-10,John Wick: Chapter Two,40000000,92029184,171350009,4.283750225,2017
1394,95,2016-01-15,Ride Along 2,40000000,90862685,124827316,3.1206829,2016
1396,97,2015-03-27,Get Hard,40000000,90411453,106511453,2.662786325,2015
1399,100,2016-10-14,The Accountant,40000000,86260045,152962083,3.824052075,2016
1400,1,2014-11-14,Dumb and Dumber To,40000000,86208010,156553592,3.9138398,2014
1401,2,2014-04-25,The Other Woman,40000000,83911193,195111193,4.877779825,2014
1405,6,2015-09-25,The Intern,40000000,75764672,197115710,4.92789275,2015
1409,10,2015-10-16,Bridge of Spies,40000000,72313754,162498338,4.06245845,2015
1415,16,2018-09-21,The House with a Clock in its Walls,40000000,68549695,126331750,3.15829375,2018
1416,17,2016-11-04,Hacksaw Ridge,40000000,67209615,168904682,4.22261705,2016
1420,21,2011-02-18,Unknown,40000000,63686397,136123083,3.403077075,2011
1424,25,2011-03-18,The Lincoln Lawyer,40000000,58009200,87145086,2.17862715,2011
1430,31,2014-11-26,Horrible Bosses 2,40000000,54445357,105945357,2.648633925,2014
1447,48,2014-05-30,A Million Ways to Die in The West,40000000,42720965,86778557,2.169463925,2014
1448,49,2011-08-12,Final Destination 5,40000000,42587643,155011165,3.875279125,2011
