,id,release_date,movie,production_budget,domestic_gross,worldwide_gross,return_on_investment,year
2459,60,2018-04-06,Blockers,21000000,60311495,94045328,4.478348952380952,2018
2460,61,2019-04-05,Pet Sematary,21000000,54724696,109501146,5.214340285714286,2019
2471,72,2011-12-09,Tinker Tailor Soldier Spy,21000000,24149393,81452811,3.8787052857142856,2011
2472,73,2017-09-22,Victoria and Abdul,21000000,22245070,68271146,3.251006952380952,2017
2487,88,2019-03-22,Us,20000000,175006930,254210310,12.7105155,2019
2491,92,2016-12-09,La La Land,20000000,151101803,426351163,21.31755815,2016
2492,93,2013-07-19,The Conjuring,20000000,137400141,318000141,15.90000705,2013
2494,95,2017-11-17,Wonder,20000000,132422809,304604712,15.2302356,2017
2498,99,2016-07-29,Bad Moms,20000000,113257297,180998716,9.0499358,2016
2499,100,2019-01-18,Glass,20000000,111035005,245303505,12.26517525,2019
2502,3,2014-07-02,Tammy,20000000,84525432,96407655,4.82038275,2014
2504,5,2011-11-16,The Descendants,20000000,82624961,175507800,8.77539,2011
2508,9,2016-10-21,Tyler Perryâs Boo! A Madea Halloween,20000000,73206343,73206343,3.66031715,2016
2513,14,2012-06-29,Tyler Perry's Madea's Witness Protection,20000000,65653242,66950887,3.34754435,2012
2517,18,2013-10-18,12 Years a Slave,20000000,56671993,181025343,9.05126715,2013
2519,20,2016-06-03,Me Before You,20000000,56245075,208265198,10.4132599,2016
2520,21,2019-02-08,What Men Want,20000000,54611903,69911903,3.49559515,2019
2521,22,2016-04-15,Barbershop: The Next Cut,20000000,54030051,54404202,2.7202101,2016
2523,24,2018-09-14,A Simple Favor,20000000,53548586,97628717,4.88143585,2018
2524,25,2015-01-09,Selma,20000000,52076908,66776576,3.3388288,2015
2530,31,2017-10-20,Tyler Perryâs Boo 2! A Madea Halloween,20000000,47319572,47879572,2.3939786,2017
2533,34,2015-11-06,Spotlight,20000000,45055776,92088460,4.604423,2015
2534,35,2018-03-30,Acrimony,20000000,43549096,46627836,2.3313918,2018
2535,36,2015-06-26,Max,20000000,42656255,43658157,2.18290785,2015
2538,39,2017-11-17,The Star,20000000,40847995,62758010,3.1379005,2017
2542,43,2016-07-27,Nerve,20000000,38583626,70652284,3.5326142,2016
2547,48,2016-02-19,Risen,20000000,36880033,46255763,2.31278815,2016
2554,55,2013-01-04,Texas Chainsaw 3D,20000000,34341945,47666013,2.38330065,2013
2556,57,2014-09-19,This is Where I Leave You,20000000,34296320,41296320,2.064816,2014
2560,61,2013-04-12,Scary Movie V,20000000,32015787,78613981,3.93069905,2013
2564,65,2011-08-31,The Debt,20000000,31177548,46604054,2.3302027,2011
2575,76,2013-08-23,The World's End,20000000,26004851,47508505,2.37542525,2013
2586,87,2017-06-16,Rough Night,20000000,22105643,46844357,2.34221785,2017
2604,5,2012-10-26,Silent Hill: Revelation 3D,20000000,17530219,55975672,2.7987836,2012
2610,11,2017-09-29,Flatliners,20000000,16883115,45173738,2.2586869,2017
2694,95,2017-04-28,JÃ¬yÃ¬ dÃ shÄ«,20000000,587470,43888531,2.19442655,2017
2718,19,2017-12-01,The Shape of Water,19500000,63859435,195790794,10.040553538461538,2017
2726,27,2011-06-24,Bad Teacher,19000000,100292856,215448997,11.339420894736842,2011
2727,28,2016-08-12,Sausage Party,19000000,97670358,141344255,7.439171315789474,2016
2740,41,2013-11-08,The Book Thief,19000000,21488481,76086711,4.004563736842106,2013
2763,64,2014-05-09,Neighbors,18000000,150086800,270944428,15.052468222222222,2014
2776,77,2016-03-25,My Big Fat Greek Wedding 2,18000000,59689605,92096558,5.116475444444444,2016
2777,78,2015-09-11,The Perfect Guy,18000000,57027435,60278166,3.348787,2015
2779,80,2011-03-25,Diary of a Wimpy Kid: Rodrick Rules,18000000,52698535,73695194,4.094177444444444,2011
2782,83,2011-04-08,Soul Surfer,18000000,43853424,47158652,2.6199251111111113,2011
2784,85,2018-06-29,Uncle Drew,18000000,42469946,46527161,2.5848422777777778,2018
2785,86,2014-10-17,Birdman or (The Unexpected Virtue of Ignorance),18000000,42340598,103215094,5.734171888888889,2014
2789,90,2013-07-26,Blue Jasmine,18000000,33404871,102912961,5.717386722222222,2013
2794,95,2015-08-07,Ricki and the Flash,18000000,26839498,41166033,2.2870018333333335,2015
2797,98,2015-11-13,Love the Coopers,18000000,26302731,42227490,2.345971666666667,2015
2803,4,2017-04-28,The Circle,18000000,20497844,40651864,2.258436888888889,2017
2810,11,2013-08-16,Jobs,18000000,16131410,43402515,2.4112508333333333,2013
2839,40,2017-03-17,T2: Trainspotting,18000000,2402004,42091262,2.3384034444444444,2017
2865,66,2018-04-06,A Quiet Place,17000000,188024361,334522294,19.677782,2018
2868,69,2014-08-13,Letâs Be Cops,17000000,82390774,136890774,8.052398470588235,2014
2872,73,2013-11-15,The Best Man Holiday,17000000,70525195,72835710,4.284453529411764,2013
2874,75,2012-09-28,Pitch Perfect,17000000,65001093,116044347,6.826138058823529,2012
2876,77,2013-04-05,Evil Dead,17000000,54239856,97778356,5.751668,2013
2879,80,2015-02-20,McFarland USA,17000000,44480275,45707924,2.688701411764706,2015
2880,81,2016-11-11,Almost Christmas,17000000,42065185,42493506,2.499618,2016
2886,87,2011-03-04,Beastly,17000000,27865571,38028230,2.236954705882353,2011
2932,33,2012-05-25,Moonrise Kingdom,16000000,45512466,68848446,4.303027875,2012
2933,34,2011-11-25,The Artist,16000000,44667095,128256712,8.0160445,2011
2938,39,2011-02-04,The Roommate,16000000,37300107,52545707,3.2841066875,2011
2982,83,2018-12-21,Second Act,15700000,39282227,63288854,4.031137197452229,2018
3001,2,2017-08-11,Annabelle: Creation,15000000,102092201,305384865,20.358991,2017
3002,3,2013-10-25,Jackass Presents: Bad Grandpa,15000000,102003019,160903019,10.726867933333333,2013
3005,6,2014-11-28,The Imitation Game,15000000,91125143,227740463,15.182697533333334,2014
3008,9,2013-01-18,Mama,15000000,71628180,148095566,9.873037733333334,2013
3017,18,2012-02-03,The Woman in Black,15000000,54333290,128955898,8.597059866666667,2012
3020,21,2018-08-10,BlacKkKlansman,15000000,49275340,93017335,6.201155666666667,2018
3025,26,2013-02-22,Snitch,15000000,42930462,57907734,3.8605156,2013
3027,28,2015-12-04,Krampus,15000000,42725475,61788393,4.1192262,2015
3028,29,2012-09-21,End of Watch,15000000,41003371,57586606,3.8391070666666667,2012
3032,33,2014-12-03,Wild,15000000,37880356,52460543,3.4973695333333334,2014
3034,35,2014-11-07,The Theory of Everything,15000000,35893537,123327692,8.221846133333333,2014
3035,36,2011-09-16,Drive,15000000,35060689,81357930,5.423862,2011
3038,39,2018-11-23,The Favourite,15000000,34366783,94113929,6.274261933333333,2018
3049,50,2014-08-22,When the Game Stands Tall,15000000,30127963,30138912,2.0092608,2014
3056,57,2017-09-08,Home Again,15000000,27020284,37336874,2.489124933333333,2017
3060,61,2014-08-27,The November Man,15000000,25018119,34820335,2.321355666666667,2014
3066,67,2013-03-29,The Place Beyond the Pines,15000000,21403519,47011449,3.1340966,2013
3075,76,2014-07-25,A Most Wanted Man,15000000,17237855,36068890,2.404592666666667,2014
3081,82,2012-11-30,Killing Them Softly,15000000,14945541,39238443,2.6158962,2012
3083,84,2011-08-19,One Day,15000000,13843771,59168692,3.9445794666666667,2011
3165,66,2015-07-01,Magic Mike XXL,14500000,66013057,123660597,8.52831703448276,2015
3180,81,2012-08-31,The Possession,14000000,49130588,82925064,5.9232188571428575,2012
3185,86,2012-02-24,Tyler Perry's Good Deeds,14000000,35025791,35579177,2.5413697857142856,2012
3189,90,2012-01-13,The Iron Lady,14000000,29959436,115592104,8.256578857142857,2012
3215,16,2015-10-23,Suffragette,14000000,4702420,34044909,2.431779214285714,2015
3235,36,2012-10-12,Seven Psychopaths,13500000,15024049,33035736,2.4470915555555557,2012
3243,44,2014-09-12,No Good Deed,13200000,52543632,54323210,4.115394696969697,2014
3247,48,2011-02-11,Justin Bieber: Never Say Never,13000000,73013910,99034125,7.618009615384615,2011
3248,49,2018-07-04,The First Purge,13000000,69488745,136617305,10.509023461538462,2018
3249,50,2016-03-16,Miracles from Heaven,13000000,61705123,73798736,5.6768258461538466,2016
3253,54,2016-06-24,The Shallows,13000000,55121623,118763442,9.135649384615384,2016
3257,58,2014-02-14,About Last Night,13000000,48637684,50445860,3.880450769230769,2014
3260,61,2014-10-10,St. Vincent,13000000,44137712,54837234,4.218248769230769,2014
3261,62,2014-07-02,Earth to Echo,13000000,38934842,42174545,3.2441957692307692,2014
3269,70,2013-03-01,21 and Over,13000000,25682380,42195766,3.245828153846154,2013
3271,72,2015-04-10,Ex Machina,13000000,25440971,38358392,2.9506455384615387,2015
3274,75,2016-03-11,Eye in the Sky,13000000,18704596,35402802,2.7232924615384615,2016
3276,77,2012-09-21,The Perks of Being a Wallflower,13000000,17742948,33069303,2.5437925384615383,2012
3279,80,2015-10-16,Room,13000000,14677674,36262783,2.789444846153846,2015
3285,86,2015-07-17,Bajrangi Bhaijaan,13000000,8178001,121778347,9.367565153846154,2015
3287,88,2016-09-09,Robinson Crusoe,13000000,8005586,42446455,3.265111923076923,2016
3313,14,2013-03-15,The Call,12800000,51872378,69821476,5.4548028125,2013
3314,15,2016-08-05,Operation Chromite,12700000,1022720,49196532,3.8737426771653545,2016
3342,43,2014-06-06,The Fault in Our Stars,12000000,124872350,307166834,25.597236166666665,2014
3344,45,2012-04-20,Think Like a Man,12000000,91547205,113373764,9.447813666666667,2012
3345,46,2014-04-16,Heaven is for Real,12000000,91386097,100916299,8.409691583333334,2014
3351,52,2012-02-24,Act of Valor,12000000,70012847,82497035,6.874752916666667,2012
3354,55,2012-02-03,Chronicle,12000000,64575175,123681790,10.306815833333333,2012
3357,58,2012-03-02,Project X,12000000,54731865,103028188,8.585682333333333,2012
3358,59,2017-11-10,Three Billboards Outside Ebbing Missouri,12000000,54513740,160191915,13.34932625,2017
3359,60,2016-11-25,Lion,12000000,51739495,149570720,12.464226666666667,2016
3360,61,2018-05-04,Overboard,12000000,50316123,85369830,7.1141525,2018
3364,65,2013-11-22,Philomena,12000000,37709979,98963392,8.246949333333333,2013
3367,68,2015-07-24,Paper Towns,12000000,32000304,85450484,7.120873666666666,2015
3376,77,2016-08-12,Hell or High Water,12000000,27007844,37584304,3.1320253333333334,2016
3378,79,2012-07-05,Katy Perry: Part of Me,12000000,25326071,32700439,2.7250365833333334,2012
3379,80,2014-12-12,Top Five,12000000,25317379,26001741,2.16681175,2014
3383,84,2015-01-30,Project Almanac,12000000,22348241,32909437,2.7424530833333334,2015
3390,91,2013-11-15,Nebraska,12000000,17654912,24761360,2.0634466666666667,2013
3394,95,2013-11-01,About Time,12000000,15323921,89309178,7.4424315,2013
3408,9,2012-09-14,Arbitrage,12000000,7919574,35830713,2.98589275,2012
3422,23,2013-11-15,La grande bellezza,12000000,2883879,29549145,2.46242875,2013
3456,57,2016-09-23,The Dressmaker,11900000,2022115,24041617,2.020303949579832,2016
3459,60,2015-11-20,Carol,11800000,12711491,42843521,3.6308068644067797,2015
3461,62,2016-01-22,Dirty Grandpa,11500000,35593113,105078449,9.137256434782609,2016
3472,73,2014-08-22,If I Stay,11000000,50474843,78356170,7.1232881818181815,2014
3478,79,2015-11-04,Brooklyn,11000000,38322743,62076141,5.643285545454545,2015
3480,81,2015-04-01,Woman in Gold,11000000,33307793,58586407,5.326037,2015
3482,83,2017-12-08,I Tonya,11000000,30014534,53797409,4.890673545454545,2017
3485,86,2019-02-14,Fighting With My Family,11000000,22958583,39049922,3.5499929090909093,2019
3489,90,2013-01-11,Quartet,11000000,18388357,56178935,5.107175909090909,2013
3493,94,2013-12-06,Inside Llewyn Davis,11000000,13248209,32943247,2.9948406363636364,2013
3499,100,2016-07-06,Sultan,11000000,5599781,72989781,6.6354346363636365,2016
3511,12,2012-11-16,Le prÃ©nom,11000000,61611,25307405,2.300673181818182,2012
3512,13,2015-05-08,La famille BÃ©lier,11000000,0,82438670,7.494424545454545,2015
3517,18,2012-05-25,Les Intouchables,10800000,13182281,484873045,44.89565231481482,2012
3535,36,2018-10-19,Halloween,10000000,159342015,254900667,25.4900667,2018
3538,39,2016-08-26,Donât Breathe,10000000,89217875,158973685,15.8973685,2016
3541,42,2016-07-01,The Purge: Election Year,10000000,79042440,118514727,11.8514727,2016
3542,43,2018-05-18,Book Club,10000000,68566296,91113683,9.1113683,2018
3544,45,2018-01-05,Insidious: The Last Key,10000000,67745330,167885588,16.7885588,2018
3550,51,2015-06-05,Insidious Chapter 3,10000000,52218558,120453155,12.0453155,2015
3552,53,2017-11-03,Lady Bird,10000000,48958273,78610769,7.8610769,2017
3554,55,2012-05-04,The Best Exotic Marigold Hotel,10000000,46383639,134639780,13.463978,2012
3555,56,2018-06-08,Hereditary,10000000,44069456,70133905,7.0133905,2018
3556,57,2018-03-16,Love Simon,10000000,40826341,65520633,6.5520633,2018
3560,61,2017-10-27,Jigsaw,10000000,38052832,102445196,10.2445196,2017
3567,68,2016-01-22,The Boy,10000000,35819556,68220952,6.8220952,2016
3569,70,2017-05-19,Everything Everything,10000000,34121140,61603136,6.1603136,2017
3572,73,2015-03-06,The Second Best Exotic Marigold Hotel,10000000,33078266,90384306,9.0384306,2015
3574,75,2017-04-28,How to Be a Latin Lover,10000000,32149404,62556228,6.2556228,2017
3579,80,2018-08-10,Slender Man,10000000,30564825,51723644,5.1723644,2018
3583,84,2018-07-27,Teen Titans Go! To The Movies,10000000,29790236,51620593,5.1620593,2018
3584,85,2016-09-09,When the Bough Breaks,10000000,29747603,30768449,3.0768449,2016
3587,88,2013-08-30,One Direction: This is Us,10000000,28873374,68541786,6.8541786,2013
3590,91,2015-08-21,Sinister 2,10000000,27740955,54104225,5.4104225,2015
3591,92,2016-01-08,The Forest,10000000,26594261,40749230,4.074923,2016
3595,96,2012-08-17,Sparkle,10000000,24397469,24660323,2.4660323,2012
3596,97,2016-10-14,Kevin Hart: What Now?,10000000,23591043,23591043,2.3591043,2016
3597,98,2013-04-26,Mud,10000000,21590086,31556959,3.1556959,2013
3599,100,2017-12-01,The Disaster Artist,10000000,21120616,28717667,2.8717667,2017
3600,1,2016-09-16,Blair Witch,10000000,20777061,38985577,3.8985577,2016
3606,7,2015-10-23,Paranormal Activity: The Ghost Dimension,10000000,18297124,77959374,7.7959374,2015
3621,22,2011-11-23,My Week with Marilyn,10000000,14597405,34240572,3.4240572,2011
3622,23,2014-12-25,Big Eyes,10000000,14482031,27317872,2.7317872,2014
3638,39,2013-01-25,Movie 43,10000000,8840453,31164747,3.1164747,2013
3750,51,2012-12-19,Amour,9700000,6738954,36787044,3.792478762886598,2012
3755,56,2016-12-21,Dangal,9500000,12391761,294654618,31.01627557894737,2016
3761,62,2011-11-11,Melancholia,9400000,3030848,21817298,2.32098914893617,2011
3766,67,2011-12-31,Red Dog,9100000,0,20927794,2.299757582417582,2011
3770,71,2014-07-18,The Purge: Anarchy,9000000,71562550,111534881,12.392764555555555,2014
3774,75,2016-10-21,Ouija: Origin of Evil,9000000,35144505,81831866,9.092429555555556,2016
3777,78,2019-02-13,Happy Death Day 2U,9000000,28051045,64179495,7.131055,2019
3779,80,2015-01-30,Black or White,9000000,21571189,21971021,2.4412245555555554,2015
3785,86,2016-11-18,The Edge of Seventeen,9000000,14431633,19096003,2.121778111111111,2016
3786,87,2016-12-02,Jackie,9000000,13960394,36588512,4.065390222222222,2016
3802,3,2013-03-22,The Sapphires,9000000,2450867,20395040,2.2661155555555554,2013
3823,24,2012-05-18,Polisse,8900000,176988,22744132,2.5555204494382022,2012
3829,30,2016-11-18,Manchester by the Sea,8500000,47695371,77733867,9.145160823529412,2016
3832,33,2015-02-20,The DUFF,8500000,34030343,43528634,5.1210157647058825,2015
3833,34,2014-10-31,Nightcrawler,8500000,32381218,50334418,5.921696235294117,2014
3835,36,2019-01-16,Dragon Ball Super: Broly,8500000,30376755,122747755,14.440912352941176,2019
3837,38,2013-09-27,Baggage Claim,8500000,21569509,22885836,2.6924512941176473,2013
3838,39,2016-10-07,Middle School: The Worst Years of My Life,8500000,20007149,23311293,2.7425050588235296,2016
3849,50,2017-12-31,Posledniy bogatyr,8500000,0,30700192,3.611787294117647,2017
3853,54,2013-05-31,Yeh Jawaani Hai Deewani,8300000,3827466,50827466,6.123791084337349,2013
3871,72,2019-05-03,The Intruder,8000000,35095904,36005871,4.500733875,2019
3872,73,2011-09-30,50/50,8000000,35016118,41334735,5.166841875,2011
3874,75,2015-09-02,A Walk in the Woods,8000000,29499394,37119358,4.63991975,2015
3877,78,2014-01-31,That Awkward Moment,8000000,26068955,53068955,6.633619375,2014
3887,88,2013-09-18,Enough Said,8000000,17550872,25621449,3.202681125,2013
3890,91,2014-06-27,Begin Again,8000000,16170632,68838736,8.604842,2014
3930,31,2016-11-18,A Street Cat Named Bob,8000000,82703,17382693,2.172836625,2016
3937,38,2013-09-20,Feichang Xingyun,8000000,0,21970000,2.74625,2013
3976,77,2017-01-13,The Bye Bye Man,7400000,22395806,31187727,4.214557702702702,2017
3981,82,2011-05-27,Die Welle,7250000,0,35122948,4.844544551724138,2011
3987,88,2012-06-29,Magic Mike,7000000,113721571,170549753,24.364250428571427,2012
3989,90,2018-03-16,I Can Only Imagine,7000000,83482352,85604221,12.22917442857143,2018
3990,91,2019-03-15,Five Feet Apart,7000000,45729221,80504421,11.500631571428572,2019
3992,93,2011-05-06,Jumping the Broom,7000000,37295394,38158601,5.4512287142857145,2011
4003,4,2017-04-07,Gifted,7000000,24801212,36964656,5.280665142857143,2017
4010,11,2015-06-19,Dope,7000000,17506470,18190831,2.598690142857143,2015
4012,13,2019-05-24,BrightBurn,7000000,16794432,27989498,3.9984997142857144,2019
4013,14,2014-01-17,Devil's Due,7000000,15821461,36146087,5.163726714285715,2014
4015,16,2014-11-14,Beyond the Lights,7000000,14618727,14618727,2.0883895714285714,2014
4061,62,2014-01-28,Snezhnaya koroleva,7000000,0,15193977,2.170568142857143,2014
4072,73,2012-09-21,House at the End of the Street,6900000,31611916,44103982,6.391881449275362,2012
4083,84,2014-10-03,Annabelle,6500000,84273813,256862920,39.517372307692305,2014
4096,97,2011-12-02,Shame,6500000,4002293,20412841,3.1404370769230767,2011
4118,19,2018-05-11,Breaking In,6000000,46840590,51411620,8.568603333333334,2018
4132,33,2019-03-29,Unplanned,6000000,18107621,18107621,3.017936833333333,2019
4135,36,2019-02-08,The Prodigy,6000000,14856291,19789712,3.2982853333333333,2019
4136,37,2018-11-30,The Possession of Hannah Grace,6000000,14836174,42785387,7.130897833333333,2018
4145,46,2012-09-07,The Words,6000000,11494838,16369708,2.7282846666666667,2012
4146,47,2016-01-15,The Lady in the Van,6000000,10021175,42320503,7.053417166666667,2016
4153,54,2011-07-29,The Guard,6000000,5359774,21197454,3.532909,2011
4172,73,2011-04-29,JÃ»san-nin no shikaku,6000000,802778,18727440,3.12124,2011
4179,80,2011-03-04,Akmareul Boatda,6000000,129210,13168809,2.1948015,2011
4205,6,2012-09-07,The Inbetweeners,5700000,35955,86051320,15.096722807017544,2012
4211,12,2012-12-07,Khiladi 786,5600000,385422,14683763,2.622100535714286,2012
4217,18,2013-09-27,Don Jon,5500000,24477704,41268579,7.503378,2013
4219,20,2018-09-28,Hell Fest,5500000,11107431,18119231,3.2944056363636363,2018
4227,28,2011-04-01,Haevnen,5500000,1008098,15867314,2.8849661818181818,2011
4228,29,2011-10-21,Le Havre,5500000,611709,13480196,2.450944727272727,2011
4238,39,2013-10-11,La Vie d'AdÃ¨le â Chapitres 1 & 2,5250000,2450504,22914479,4.364662666666667,2013
4239,40,2012-04-27,Hodejegerne,5250000,1200010,20188740,3.845474285714286,2012
4245,46,2011-04-22,Dum Maaro Dum,5200000,564489,11633427,2.2371975,2011
4248,49,2017-02-24,Get Out,5000000,176040665,255367951,51.0735902,2017
4249,50,2017-01-20,Split,5000000,138141585,278964806,55.7929612,2017
4250,51,2011-10-21,Paranormal Activity 3,5000000,104028807,207039844,41.4079688,2011
4252,53,2013-09-13,Insidious Chapter 2,5000000,83586447,161921515,32.384303,2013
4253,54,2016-03-11,10 Cloverfield Lane,5000000,72082999,108286422,21.6572844,2016
4254,55,2016-07-22,Lights Out,5000000,67268835,148806510,29.761302,2016
4255,56,2015-09-11,The Visit,5000000,65206105,98677816,19.7355632,2015
4257,58,2017-10-13,Happy Death Day,5000000,55683845,125010260,25.002052,2017
4258,59,2012-10-19,Paranormal Activity 4,5000000,53900335,142817992,28.5635984,2012
4259,60,2014-10-24,Ouija,5000000,50856010,103300632,20.6601264,2014
4261,62,2013-08-30,No se Aceptan Devoluciones,5000000,44467206,100486616,20.0973232,2013
4262,63,2015-08-07,The Gift,5000000,43787265,58978477,11.7956954,2015
4263,64,2017-06-23,The Big Sick,5000000,42872467,53972860,10.794572,2017
4265,66,2019-05-31,MA,5000000,36049540,44300625,8.860125,2019
4269,70,2014-01-03,Paranormal Activity: The Marked Ones,5000000,32462372,90904854,18.1809708,2014
4271,72,2014-04-11,Oculus,5000000,27695246,44115496,8.8230992,2014
4272,73,2013-11-01,Dallas Buyers Club,5000000,27298285,60611845,12.122369,2013
4273,74,2015-08-26,No Escape,5000000,27288872,42844516,8.5689032,2015
4275,76,2015-02-27,The Lazarus Effect,5000000,25801570,38359310,7.671862,2015
4277,78,2011-08-26,Our Idiot Brother,5000000,24814830,25861249,5.1722498,2011
4278,79,2018-03-09,The Strangers: Prey at Night,5000000,24431472,29960051,5.9920102,2018
4282,83,2013-07-05,The Way Way Back,5000000,21502690,26853810,5.370762,2013
4283,84,2014-08-29,As Above So Below,5000000,21222315,41824066,8.3648132,2014
4284,85,2016-04-01,Godâs Not Dead 2,5000000,20773069,23551286,4.7102572,2016
4289,90,2016-02-19,Race,5000000,19115191,23745772,4.7491544,2016
4291,92,2015-01-16,Still Alice,5000000,18656400,41699612,8.3399224,2015
4293,94,2011-09-02,Apollo 18,5000000,17686929,26517819,5.3035638,2011
4294,95,2018-03-23,Paul Apostle of Christ,5000000,17547999,25529498,5.1058996,2018
4295,96,2014-10-10,Addicted,5000000,17390770,17499242,3.4998484,2014
4302,3,2013-03-15,Spring Breakers,5000000,14124286,31149251,6.2298502,2013
4303,4,2017-06-09,It Comes at Night,5000000,13985117,19720203,3.9440406,2017
4307,8,2016-07-15,Hillaryâs America: The Secret History of the Democratic Party,5000000,13099931,13099931,2.6199862,2016
4311,12,2017-03-03,Before I Fall,5000000,12241072,18945682,3.7891364,2017
4314,15,2016-01-29,Fifty Shades of Black,5000000,11686940,22113075,4.422615,2016
4319,20,2014-05-09,Momsâ Night Out,5000000,10429707,10537341,2.1074682,2014
4320,21,2017-03-17,The Belko Experiment,5000000,10166820,11792942,2.3585884,2017
4321,22,2016-03-11,The Perfect Match,5000000,9669521,10182050,2.03641,2016
4342,43,2011-02-25,Des Hommes et Des Dieux,5000000,3954651,46263525,9.252705,2011
4348,49,2016-03-04,The Other Side of the Door,5000000,3000342,12905107,2.5810214,2016
4353,54,2016-12-28,Paterson,5000000,2141423,10727536,2.1455072,2016
4400,1,2015-01-23,Mommy,4900000,3498695,17536004,3.5787763265306123,2015
4417,18,2012-09-14,Barfi,4600000,2804874,36751984,7.989561739130435,2012
4420,21,2011-06-24,Le nom des gens,4600000,514237,9261711,2.0134154347826088,2011
4431,32,2016-03-25,The Lobster,4500000,9196278,18019834,4.004407555555556,2016
4439,40,2011-09-02,Salvando al Soldado Perez,4500000,1400726,9330465,2.073436666666667,2011
4461,62,2016-12-31,Airlift (2016),4400000,0,9969237,2.2657356818181817,2016
4467,68,2012-07-11,Snabba Cash,4300000,188870,10212403,2.374977441860465,2012
4480,81,2015-01-23,The Boy Next Door,4000000,36006065,53401938,13.3504845,2015
4484,85,2014-07-11,Boyhood,4000000,25379975,57273049,14.31826225,2014
4488,89,2014-04-18,A Haunted House 2,4000000,17329487,21206861,5.30171525,2014
4489,90,2013-03-01,The Last Exorcism Part II,4000000,15179303,25448707,6.36217675,2013
4497,98,2016-05-13,The Darkness,4000000,10753574,10898293,2.72457325,2016
4553,54,2017-12-31,Perfectos Desconocidos,4000000,0,31166312,7.791578,2017
4590,91,2018-04-13,Truth or Dare,3500000,41411015,95127344,27.179241142857144,2018
4593,94,2016-02-19,The Witch,3500000,25138705,40454520,11.558434285714286,2016
4594,95,2018-02-02,Winchester,3500000,25091816,44378040,12.67944,2018
4596,97,2013-02-22,Dark Skies,3500000,17418667,27704111,7.9154602857142855,2013
4597,98,2018-01-19,Forever My Girl,3500000,16376066,16376066,4.678876,2018
4632,33,2013-05-17,Jagten,3450000,687185,18309793,5.307186376811594,2013
4636,37,2011-10-21,Margin Call,3400000,5353586,20433227,6.009772647058823,2011
4642,43,2014-10-10,Whiplash,3300000,13092006,38969037,11.80879909090909,2014
4653,54,2018-07-06,Sorry to Bother You,3200000,17493096,18285560,5.7142375,2018
4656,57,2011-06-03,Beginners,3200000,5790894,14314407,4.4732521875,2011
4665,66,2015-08-28,War Room,3000000,67790117,73975239,24.658413,2015
4666,67,2013-06-07,The Purge,3000000,64473115,91266581,30.422193666666665,2013
4668,69,2012-10-12,Sinister,3000000,48086903,87727807,29.242602333333334,2012
4688,89,2018-06-01,Upgrade,3000000,11977130,16553285,5.517761666666667,2018
4698,99,2013-05-24,Before Midnight,3000000,8110621,23251930,7.7506433333333336,2013
4702,3,2017-10-27,Let There Be Light,3000000,7233471,7241309,2.4137696666666666,2017
4713,14,2013-05-17,Frances Ha,3000000,4067398,11262769,3.754256333333333,2013
4720,21,2016-04-22,Compadres,3000000,3127773,7445044,2.4816813333333334,2016
4734,35,2012-09-07,Bachelorette,3000000,446770,12577401,4.192467,2012
4794,95,2015-12-31,Sardaar Ji,2700000,0,8200000,3.037037037037037,2015
4802,3,2014-05-02,Ida,2600000,3827060,15298355,5.8839826923076926,2014
4806,7,2011-12-31,La Cara Oculta,2600000,0,7033931,2.7053580769230767,2011
4811,12,2013-01-11,A Haunted House,2500000,40041683,59922558,23.9690232,2013
4812,13,2012-07-13,2016: Obamaâs America,2500000,33349941,33349941,13.3399764,2012
4813,14,2013-07-03,Kevin Hart: Let Me Explain,2500000,32244051,32327255,12.930902,2013
4821,22,2013-08-02,The Spectacular Now,2500000,6852971,6916951,2.7667804,2013
4824,25,2016-06-24,Hunt for the Wilderpeople,2500000,5205471,23845533,9.5382132,2016
4859,60,2015-03-20,Do You Believe?,2300000,12985600,14304931,6.2195352173913045,2015
4886,87,2011-09-30,Courageous,2000000,34522221,35185884,17.592942,2011
4893,94,2015-03-13,It Follows,2000000,14674077,23250755,11.6253775,2015
4894,95,2018-07-13,Eighth Grade,2000000,13539710,14341016,7.170508,2018
4896,97,2012-03-09,Silent House,2000000,12739737,16610760,8.30538,2012
4899,100,2016-04-08,Hardcore Henry,2000000,9252038,17187434,8.593717,2016
4908,9,2014-10-10,Meet the Mormons,2000000,6047363,6049171,3.0245855,2014
4910,11,2017-10-06,The Florida Project,2000000,5904366,11295324,5.647662,2017
4911,12,2017-08-25,All Saints,2000000,5802208,5941994,2.970997,2017
4919,20,2015-08-28,We Are Your Friends,2000000,3591417,10153415,5.0767075,2015
4940,41,2014-11-28,The Babadook,2000000,950792,7482387,3.7411935,2014
4961,62,2015-10-09,Knock Knock,2000000,36336,6328516,3.164258,2015
5008,9,2011-06-03,Submarine,1900000,467602,4581937,2.411545789473684,2011
5010,11,2013-02-08,ABCD (Any Body Can Dance),1900000,222098,10137234,5.335386315789473,2013
5017,18,2012-06-27,Beasts of the Southern Wild,1800000,12795746,23265132,12.925073333333334,2012
5041,42,2014-02-28,The Lunchbox,1700000,4231500,12231500,7.195,2014
5044,45,2015-12-18,Saul fia,1700000,1777043,9696537,5.703845294117647,2015
5062,63,2011-04-01,Insidious,1500000,54009150,99870886,66.58059066666667,2011
